UID,col_0,col_1,col_2,col_3,col_4,col_5,col_6,y
0,A 0,B0,C2,D1,100,E1,F2,237000
1,A1,B0,C11,D4,100,E4,F2,86193
2,A0,B0,C18,D0,0,E0,F2,169200
3,A2,B0,C11,D1,100,E1,F2,58000
4,A0,B0,C67,D1,0,E1,F2,235000
5,A0,B0,C11,D1,100,E1,F2,170000
6,AO,B0,C11,D1,100,E1,F0,183600
7,A0,B0,C4,D1,0,E1,F2,100000
8,A0,B0,C2,D1,100,E1,F2,175000
9,A0,B0,C2,D1,100,E1,F2,136000
10,A1,B0,C52,D8,50,E24,F0,55685
11,A0,B0,C7,D1,0,E1,F2,175000
12,A1,B0,C36,D1,0,E1,F2,120000
13,A1,B0,C11,D1,0,E1,F2,150000
14,A0,B0,C2,D1,0,E1,F2,152000
15,A1,B0,C4,D1,0,E1,F2,72000
16,A0,B0,C4,D1,0,E1,F2,140000
17,A1,B0,C2,D1,50,E1,F0,130000
18,A0,B 0,C57,D2,100,E2,F2,248400
19,A0,B0,C9,D1,100,E1,F2,212200
20,,B0,C54,D4,0,E4,F2,127467
21, A2   ,B0,C11,D1,100,E1,F0,129000
22,A0,B0,C4,D1,100,E1,F2,201000
23,A2,B0,C41,D1,50,E1,F0,100000
24,A2,B0,C44,D41,100,E19,F2,40000
25,A0, B0   ,C11,D1,0,E1,F2,270703
26,A0,B0,C4,D1,0,E1,F2,139000
27,A1,B0,C15,D1,100,E1,F0,180000
28,A1,B0,C18,D12,50,E11,F2,62649
29,A0,B0,C9,D1,0,E1,F2,189650
30,A0   ,,C39,D6,50,E6,F0,40570
31,A 1,B0,C11,D53,0,E52,F2,12103
32,A2,B0,C2,D6,0,E6,F0,9727
33,A1,B0,C2,D1,0,E1,F2,105000
34,A0,B0,C4,D1,0,E1,F2,187000
35, A0   ,B0,C4,D1,0,E1,F2,128000
36,A2,B0,C2,D48,100,E48,F2,17684
37,A0,B0   ,C40,D1,100,E1,F0,170000
38,A1,B0,C59,D66,0,E63,F1,20000
39,,B0,C4,D1,0,E1,F2,150000
40,A0,B0,C4,D1,100,E1,,140000
41,A 0,B0,C11,D1,0,E1,F2,139500
42,A0,B0,C2,D1,100,E1,F2,145000
43, A0   ,B0,C11,D1,100,E1,,200100
44,A0,B0,C2,D1,100,E1,F2,104000
45,A2,B0,C2,D6,50,E6,F0,29751
46,A2,B0,C2,D1,0,E1,F1,100000
47,A0,B0,C7,D4,100,E4,F2,102663
48,A0,B0,C18,D1,100,E1,F2,210000
49,A0,B0,C11,D1,100,E1,F2,120000
50,A0,,C27,D1,0,E1,F2,168400
51,,B0,C9,D1,100,E1,F2,280700
52,A1,B0,C11,D1,100,E1,F0,100000
53,A0,B0,C2,D1,100,E1,F2,191475
54,A1,B0,C29,D0,50,E36,F2,60000
55,A0,B0,C3,D1,0,E1,F0,260000
56,A0,B0   ,C7,D1,0,E1,,150000
57,A0,B0,C9,D1,0,E1,F2,204500
58,A3,B0,C11,D1,100,E1,,236000
59,A1,B0,C4,D1,0,E1,F2,60000
60,A0,B0,C2,D1,100,E1,,211500
61,A 1,B0,C49,D26,100,E23,F2,78000
62,A0,B0,C4,D1,100,E1,F2,165000
63,A2,B0,C4,D26,100,E23,F0,7799
64,A0,B0,C4,D0,0,E0,F2,50432
65,A3,B0,C33,D42,100,E40,F0,153667
66,A0,B0,C9,D1,0,E1,,323300
67,A1,B0,C2,D4,0,E4,F2,110820
68,A0,B0,C6,D1,0,E1,F2,139000
69,A0,B0,C4,D0,0,E0,F2,36773
70,A3,B0,C11,D1,100,E1,F2,210914
71,A2,B0,C6,D1,0,E1,F2,155000
72,A0,B0   ,C15,D1,100,E1,F0,195400
73,A1,B0,C11,D1,0,E1,F2,111775
74,A0,B0,C9,D1,100,E1,F2,148800
75,A1,B0,C2,D12,100,E11,F2,52533
76,A0,B0,C2,D1,0,E1,F2,225000
77,,B0,C11,D1,100,E1,F2,153000
78,A0,B0,C4,D1,100,E1,F2,75000
79,A2,B0,C53,D36,100,E32,F1,9272
80,AO,B0,C11,D1,100,E1,F2,150000
81,A0,B2,C12,D68,100,E1,F1,60000
82,A 0,B0,C3,D1,0,E1,F0,159100
83,A0,B0,C2,D1,100,E1,F2,156400
84,A0,,C11,D1,100,E1,F2,135000
85,A0,B0,C11,D1,0,E1,F2,115000
86,A0,B0,C2,D1,0,E1,F2,190000
87,A1,B0,C1,D1,100,E1,F2,180000
88,A0,B0,C11,D1,100,E1,F2,96100
89,A0,B0,C2,D1,0,E1,F2,191475
90,A0,B0,C4,D1,0,E1,F2,130000
91,A0,B0,C11,D1,0,E1,F2,145000
92,A2,B0,C4,D1,100,E1,F2,75000
93,A0,B0,C2,D1,100,E1,F2,172000
94,A0,B0,C2,D1,0,E1,F2,170000
95,A0,B0,C4,D1,0,E1,F2,110600
96,A0,B0,C2,D1,100,E1,F2,285800
97,A0,B0,C9,D4,0,E4,F2,195652
98,A2,B3,C2,D42,50,E38,F1,21669
99,A0   ,B 0,C11,D1,0,E1,F2,191200
100,A0,B0,C11,D1,0,E1,F2,109400
101,A0,B0,C11,D1,0,E1,F2,130000
102,A0,B0,C11,D1,0,E1,F2,180000
103,A0,B0,C2,D1,100,E1,F2,201450
104,,B0,C2,D1,0,E1,F2,228000
105,A0,B0,C2,D1,0,E1,F2,144000
106,A2,B0,C56,D1,0,E1,F2,150000
107,A0,B0,C11,D1,0,E1,F0,240500
108,A0,B0,C11,D1,0,E1,F2   ,145000
109,A0,B 0,C11,D1,100,E1,F2,156600
110,A 1,B0,C11,D0,100,E0,F2,59020
111,A0,B0,C11,D1,0,E1,F2,176000
112,A0,B0,C2,D1,0,E1,F2,147100
113,A1,B0,C2,D1,100,E1,F2,150000
114,A0,B0,C11,D1,100,E1,F2,160000
115,A0,B0,C9,D1,0,E1,F2,276000
116,A0,B0,C15,D1,100,E1,F2,115000
117,A0,B0,C4,D1,0,E1,F2,95000
118,A0   ,B0,C67,D1,0,E1,F2,275000
119,A2,B0,C11,D4,100,E4,F2,49253
120,A0,B0,C4,D1,0,E1,F2,105200
121,A0,B0,C2,D1,100,E1,F2,141525
122,A0,B0,C30,D1,0,E1,F2,70000
123,A0,B0,C6,D1,0,E1,F2,155850
124,A0,B0   ,C81,D6,100,E18,F0,8000
125,A0,B0   ,C4,D1,0,E1,F2,120000
126,AO,B0,C11,D1,0,E1,F2,114500
127, A0   ,B0   ,C11,D1,0,E1,F2,170000
128,A0,B0,C3,D1,0,E1,F2,180000
129,,B0,C2,D54,100,E69,F0,40038
130,A1,B0,C2,D4,0,E4,F2,85066
131,A3,B0,C11,D1,100,E1,F2,200000
132,,B0,C4,D1,0,E1,F2,177000
133,A0,B0,C2,D1,0,E1,F2,78000
134,A0,B0,C11,D1,0,E1,F2,200000
135,A1,B0,C2,D4,0,E4,F2,51039
136,A0,B0,C12,D1,0,E1,F2,280000
137,A3,BO,C7,D1,100,E1,F2,200000
138,A0,B0,C4,D1,100,E1,F2,170000
139,,B0,C11,D1,0,E1,F2,85000
140,A0,B0,C11,D1,100,E1,F2,200000
141,A0,B0,C29,D2,50,E2,F2,161311
142,A1,B0,C9,D4,100,E4,F2,48609
143,A0,B0,C4,D1,100,E1,F2,185000
144,A0, B0   ,C2,D1,0,E1,F2,120000
145,A 1,B0,C4,D1,0,E1,F2,160000
146,A0,B0,C18,D1,0,E1,F2,210000
147,A0,B0,C9,D1,0,E1,F2,247500
148,A2   ,B0,C9,D1,50,E1,F0,250000
149,AO,B0,C4,D6,100,E6,F1,15806
150,A0,B0,C11,D1,100,E1,F0,132100
151,A1,B0,C2,D9,0,E8,F2,89306
152,A0,B0,C7,D1,100,E1,F2,150000
153,A1,B0,C4,D6,100,E6,F0,14307
154,A0,B0,C2,D1,0,E1,F2,186000
155,A3,B0,C11,D0,50,E0,F0,79833
156,A0,B0,C11,D1,0,E1,F2,225000
157,A0,B0,C4,D1,0,E1,F2,95000
158,A0,B0,C4,D1,0,E1,F2,55000
159,,B0,C4,D1,100,E1,F2,85000
160,A0,B0,C2,D1,100,E1,F0,180000
161,A0,B0,C4,D1,0,E1,F2,110000
162,A0,B0,C11,D1,0,E1,F2,153600
163,A0,B0,C2,D1,0,E1,F2,190000
164,A0,B0,C26,D1,0,E1,F2,175000
165,A1,B0,C4,D1,100,E1,F2,75000
166,A1,B0,C9,D4,50,E4,F0,128058
167, A0   ,B0,C57,D2,100,E2,F2,168000
168,A0,B0,C2,D0,100,E4,F0,88256
169,A 1,B0,C35,D1,100,E1,,124000
170,,B0,C18,D1,100,E1,F2,125000
171,A3,B0,C22,D5,0,E2,F2,15000
172,A0,B0,C15,D1,100,E1,F2,175000
173,AO,B0,C9,D55,100,E53,F2,135000
174,A0,,C11,D1,100,E1,F2,213580
175,A0,B0,C34,D1,0,E1,,193900
176,A1,B0,C4,D1,0,E1,F2,105500
177,A0,B0,C2,D1,100,E1,F2,110000
178,A 0,B0,C11,D1,0,E1,F2,122600
179,A2,B0,C6,D1,0,E1,F 2,160000
180,A0,B0,C58,D4,100,E4,F0,151902
181,A0,B0   ,C2,D1,100,E1,F2,275300
182,A3,B0,C11,D1,0,E1,F2,175000
183, A0   ,B0,C9,D1,0,E1,F2,139500
184,A0,B0,C7,D1,0,E1,F2,106000
185,A0,B0,C2,D4,0,E4,F2,185000
186,A1,B0,C54,D6,50,E6,F0,60795
187,A0,B0,C2,D1,100,E1,,182750
188,,B0,C2,D3,50,E3,F0,90734
189,A2,B0,C9,D1,0,E1,F0   ,83000
190,A0,B0,C2,D1,0,E1,F2,120000
191,A2,B0,C34,D42,100,E3,F1,34672
192,A0,B0,C9,D1,0,E1,F2   ,126000
193,A3,B0,C7,D1,100,E1,F2,150000
194,A0,B0,C11,D1,100,E1,F2,128000
195,A0,B0,C11,D1,0,E1,F2,115000
196,A0,B0,C2,D1,100,E1,F2,153000
197,A1,BO,C21,D1,100,E1,F0,157000
198,A0,B0,C2,D1,100,E1,F2,165220
199,A1,B0,C47,D1,100,E1,F2,150000
200,A0,B0,C11,D1,100,E1,F2,210000
201,A0,B0,C2,D1,0,E1,F2,122500
202,A0,B0,C4,D1,100,E1,F2,192500
203,A0,B0,C2,D1,100,E1,F2,141525
204,A2,,C4,D1,100,E1,F 0,46000
205,A0, B0   ,C7,D1,100,E1,F2,113000
206,A0,B0,C27,D1,100,E1,F2,86000
207,A0,B0,C11,D1,0,E1,F2,163800
208,A0,B0,C11,D1,100,E1,F2,220000
209,A2,B0,C4,D1,100,E1,F2,70000
210,A1,B0,C20,D1,50,E1,F0,105000
211,A0,B0,C2,D1,0,E1,F2,152000
212,A0,B0,C2,D1,0,E1,F2   ,120000
213,A1,B0,C4,D1,0,E1,,206000
214,A 1,B0,C4,D1,0,E1,F2,90000
215,A1,,C34,D1,0,E1,F1,200000
216,A0,B0,C15,D1,100,E1,F2,180000
217,A0,B0,C2,D2,100,E2, F0   ,103691
218,A0,B0,C4,D1,0,E1,,80000
219,A0,B0,C9,D1,100,E1,F2,192600
220,A0,B0,C9,D1,0,E1,F2,142200
221,A0, B0   ,C11,D1,100,E1,F2,180000
222,A0,B0,C11,D4,0,E4,F2   ,73880
223,A2,B0,C4,D12,100,E6,FO,6359
224, A0   ,B0,C15,D1,0,E1,F2,120000
225,A1,B0,C2,D3,50,E3,F0,90734
226,A0,,C11,D0,0,E0,F2,36773
227,A1,B0,C2,D4,0,E4,F2,78990
228,A0,B0,C12,D26,0,E23,F2,18907
229,A0,B0,C2,D1,0,E1,F2,154000
230,A0,B0,C6,D1,0,E1,F2,200000
231,A1,BO,C28,D1,100,E1,F2,100000
232,A2,B0,C50,D42,50,E38,F2,24165
233,A 2,B0,C11,D1,0,E1,F2,85000
234,A0,B0,C11,D0,0,E0,F2,36773
235,A1,B0,C4,D1,0,E1,F2,100000
236,A 0,B0,C9,D1,0,E1,F2,142200
237,A1,B0,C4,D1,0,E1,F2,150000
238,A1,B0,C2,D1,100,E1,F2,93918
239,A0,B0,C11,D1,100,E1,F2,75000
240,A0,B0,C9,D1,100,E1,F2,188800
241,A1,B0,C11,D1,0,E1,F2,95000
242,A0,B0,C89,D1,100,E1,F2,170000
243,A0,B0,C9,D1,100,E1,F2,200000
244,A1,B0,C29,D75,0,E70,F1,18000
245,A0,B0,C11,D1,0,E1,F2,81500
246,A 2,B0,C3,D1,0,E1,F0,213660
247,A0,B0,C4,D1,100,E1,F2,100000
248,A0,B0,C4,D1,0,E1,F2,169000
249,A0,B0,C2,D1,100,E1,F2,200000
250,A0,B0,C9,D1,100,E1,F0,131300
251,A0,B0,C26,D1,0,E1,F0,240000
252,A0,B0,C11,D1,0,E1,F2,90000
253,A0,B0,C11,D1,100,E1,F2,185000
254,A2,B0,C11,D1,0,E1,F2,85000
255,A1,B0,C9,D1,0,E1,F2,250000
256,A0,B0,C9,D1,0,E1,F2,220000
257, A0   ,B0,C11,D1,0,E1,F2,225000
258,A2,B0,C6,D1,0,E1,,120000
259,,B0,C11,D1,0,E1,F2,141600
260,A0,B0,C4,D1,100,E1,F2,122000
261,A0,B0,C11,D1,0,E1,F2,191200
262,A0,B0,C2,D1,0,E1,F2,225000
263,A0,B0,C4,D1,0,E1,F2,127000
264,A0,B0,C11,D4,100,E4,F2,104611
265,A0,B0,C11,D1,100,E1,F0,174000
266,A1,B0,C2,D5,100,E5,F0,50000
267,A0,B0,C9,D1,100,E1,F2,140000
268,A0,B0,C11,D1,100,E1,F2,101570
269,A0,B0,C15,D1,100,E1,F2,66000
270,A0,B0,C11,D1,100,E1,,180000
271,A1   , B0   ,C26,D1,0,E1,F2,104500
272,A0,B0,C11,D1,0,E1,F2,65488
273,A0,B0,C4,D1,0,E1,F2,110600
274,A0,B0,C2,D1,0,E1,F2,129300
275,A 0,B0,C9,D1,100,E1,F2,180000
276,A0,B0,C15,D1,0,E1,F2,141300
277,A1,B0,C9,D1,0,E1,F2,90000
278,A2,B0,C62,D21,50,E18,F0,66970
279,A0,B0,C2,D1,100,E1,,225000
280,A0,B0,C11,D1,100,E1,F2,134760
281,A0,B0,C2,D1,0,E1,F2,148750
282,A0,B0,C11,D1,100,E1,,209100
283,A0,B0,C11,D1,0,E1,F2,106500
284,A0,B0,C2,D1,0,E1,F0,144000
285,A2,B0,C11,D4,50,E4,F0,45390
286, A0   ,B0,C30,D1,100,E1,F0,148700
287,A0,B0,C92,D4,50,E4,F0,61896
288,A1,B0,C9,D12,100,E3,F2,84053
289,A0,B0,C2,D1,0,E1,F2,155000
290,A0,B0,C11,D4,100,E4,F2,61566
291,A0,B0   ,C2,D1,0,E1,F2   ,180000
292,A0,B0,C2,D1,0,E1,F2,185900
293,A0,B0,C9,D1,100,E1,,210000
294,A0,B0,C11,D1,0,E1,F2,100000
295,A0,B0,C11,D1,0,E1,F2,110000
296,A 0,B0,C7,D1,0,E1,F2,179820
297,A0,B0,C11,D1,0,E1,F 2,152000
298,A0,B0,C2,D1,0,E1,F2,170000
299,A0,B0,C3,D1,0,E1,F0,136000
300,A1,B0,C9,D6,50,E6,F0,20984
301,A3,B0,C26,D1,0,E1,F2,175100
302,A0,B0,C4,D1,100,E1,F2,120000
303,,B0,C4,D1,100,E1,F2,102500
304,A0,B0,C2,D1,0,E1,F2,185900
305,A0,B0,C2,D1,0,E1,F2,156400
306,A0,B0,C7,D4,0,E4,F2,92350
307,A0,B0,C2,D1,0,E1,F 2,130000
308,,B0,C2,D3,0,E3,F2,64090
309,A2,B0,C53,D26,100,E23,F0,6270
310,A0,B0,C9,D1,0,E1,F2,204500
311,A0,B0,C15,D1,100,E1,F2,190000
312,A0,B0,C9,D1,100,E1,F2,288000
313,A0,B0,C4,D1,100,E1,F2,81666
314,A0,B0,C4,D1,0,E1,F2   ,169000
315,A3,B0,C54,D4,0,E4,F2,160288
316,,B0,C11,D1,0,E1,F2,200000
317,A0,B0,C11,D1,100,E1,F2,160000
318,A0,B0,C4,D1,100,E1,F1,115000
319,A0,B0,C11,D1,100,E1,F2,85000
320,A0,B0,C26,D24,100,E22,,90000
321,A1,B0,C11,D4,50,E4,F0,72212
322,A 0,B0,C1,D1,0,E1,F2,135000
323,A2,B0,C59,D1,100,E1,F2,100000
324,A0,B0,C2,D1,100,E1,,183500
325,A0,B0,C4,D1,0,E1,,85500
326,A1,B0,C11,D1,0,E1,F2,154000
327,A0,B0,C38,D1,0,E1,F0,108000
328,A1,B0,C15,D1,0,E1,F2,167500
329,A3,B 0,C11,D1,0,E1,F2,210000
330,A0,B0,C2,D0,0,E0,F2,48289
331,A0,B0,C2,D1,0,E1,F2,237000
332,A0,B0,C11,D1,100,E1,F2,130000
333,A0,B0,C11,D1,0,E1,F2,129300
334,A0,B0   ,C19,D1,100,E1,F2,105400
335,A0,B0,C2,D1,0,E1,F2,130240
336,A1,B0,C2,D6,0,E6,F2,33808
337,A1,B0,C11,D4,100,E4,F2,98506
338,A1,B0,C11,D1,0,E1,F2,95000
339,A0,B0,C4,D1,0,E1,,119000
340,A0,B0,C0,D0,100,E0,F0,85847
341,A0,B0,C2,D1,100,E1,F2,179400
342,AO,,C11,D1,100,E1,F2,90000
343,A1,B0,C11,D1,0,E1,F2,149600
344,A0,B0,C4,D1,0,E1,F2,121700
345,A0,B0,C11,D1,0,E1,F2,133832
346,A0,B0,C2,D0,0,E0,F2,38631
347,A 0,B0,C2,D1,0,E1,F2,136100
348,A1,B0,C11,D1,0,E1,F2,260000
349,A0,B0,C4,D1,100,E1,F2,119000
350,A3,BO,C26,D1,0,E1,F2,182160
351,A0,B0,C15,D1,100,E1, F2   ,200000
352,A0,B0,C2,D1,100,E1,F2,275300
353,A1,B0,C11,D1,100,E1,F0,112000
354,,B0,C6,D1,0,E1,F2,230000
355,A0,B0,C9,D1,0,E1,F2,204500
356,A0,B0,C3,D1,0,E1,F0,136000
357,A0,B0,C38,D1,100,E1,F0,90000
358,A0,B0,C2,D1,0,E1,F2   ,129300
359,A0,B0,C11,D1,100,E1,F2,132320
360,A0,B0,C11,D1,0,E1,F2,137500
361,A1,B0,C6,D1,100,E1,F2,120000
362,A0,B0,C2,D1,100,E1,F2,126500
363,A1,B0,C29,D6,0,E6,F0,22611
364,A0,B0,C15,D1,0,E1, F2   ,228000
365,,B0,C11,D1,0,E1,F2,80000
366,A0,B0,C52,D1,100,E1,F2,195000
367,A0,B0,C4,D2,100,E2,F2,130000
368,A3,B1,C0,D1,100,E1,F1,416000
369,A1,B0,C11,D1,100,E1,F2,90000
370,,B0,C2,D1,100,E1,F2,136000
371,A2,,C6,D4,100,E4,,120000
372,A0,B0,C4,D1,100,E1,F2,81666
373,A0,B0   ,C11,D1,0,E1,F2,146000
374,A0,B0,C11,D1,100,E1,F2,144000
375,A2,B0,C70,D1,100,E45,F1,50000
376,A1,B0,C11,D1,0,E1,F2,146000
377,A0,B0,C11,D40,50,E4,F1,76833
378,A0   ,B0,C4,D1,0,E1,F2,153600
379,A1,,C4,D1,0,E1,F2,150000
380,A1,B0,C2,D16,0,E14,F2,80481
381,A0,B0,C11,D1,0,E1,F2,160000
382,A0,B0,C3,D1,0,E1,F2,205000
383,A1,B0,C20,D26,100,E23,F2,9289
384,A3,B0,C11,D1,0,E1,F2,145000
385,A0,,C2,D1,0,E1, F2   ,225000
386, A0   ,B0,C2,D1,100,E1,F2,175000
387,A1,B0,C30,D1,0,E1,F2,80000
388,A0,B0,C87,D55,50,E1,F1,160000
389,A1,B0,C11,D1,100,E1,F2,90000
390,A0,B0,C2,D1,100,E1,F2,167000
391,A0,B0,C9,D1,100,E1,F2,164000
392,A1,B0,C9,D4,0,E4,F2,92350
393,A0,B0,C52,D1,0,E1,F2,205920
394,A3,B0,C11,D1,100,E1,F2,324000
395,A1,B0,C11,D0,100,E0,F2,73546
396,A2,B0,C9,D1,50,E1,F1,81000
397,A0,B0,C11,D1,0,E1,F2,102100
398,A0,B0,C2,D1,0,E1,F2,249500
399,A0,B0,C11,D1,100,E1,F2,150000
400,A0,B0,C11,D1,100,E1,F2,202000
401,A0,B0,C3,D1,0,E1,F0,222200
402,A0,B0,C18,D1,0,E1,F2,120000
403,A0,B0,C4,D1,100,E1,F2,208450
404,A2,B0,C2,D1,0,E1,F0,82000
405,A0,B0,C2,D1,100,E1,F2,191475
406,A1,B0,C4,D1,100,E1,F2,102640
407,A0,B0,C3,D1,0,E1,F0,136000
408,A1, B0   ,C19,D1,0,E1,F2,155000
409,A0,B0,C11,D1,0,E1,F2   ,100000
410,A0,B0,C9,D1,0,E1,F2,139500
411,A1,B 0,C11,D1,0,E1,F2,120000
412,A0,B0,C2,D1,50,E1,F0,120000
413,A1,B0,C2,D1,0,E1,F2,183310
414,A1,B0,C2,D6,0,E6,F0,40481
415,A0,B0   ,C2,D1,100,E1,F0,140000
416,A1,B0,C2,D1,0,E1,F2,165000
417,A0,B0,C9,D1,0,E1,F2,126000
418, A0   ,B0,C11,D1,100,E1,F2,138750
419,A0,B0,C11,D1,100,E1,F2,128875
420,A0,B0,C11,D1,0,E1,F2,129300
421,A1,B0,C2,D1,100,E1,F2,150000
422,A0,B0,C11,D1,100,E1,F2,225000
423,A1,B0,C11,D1,0,E1, F2   ,130000
424,A2,B0,C2,D2,100,E2,F 0,51753
425,,B0,C29,D4,50,E4,F2,109024
426,A0,B 0,C15,D1,0,E1,F2,174500
427,A0,B0,C11,D1,100,E1,F2,104000
428,A1,B0,C15,D1,0,E1,F2,106500
429,A0,B0,C2,D1,100,E1,F2,207000
430,A0,B0,C2,D1,100,E1,F0,236900
431,A0,B0   ,C26,D1,100,E1,F2,175100
432,A0,B0,C2,D1,100,E1,F2,139000
433,A0,B0,C2,D1,100,E1,F2,141525
434,A 3   ,B0,C7,D1,100,E1,F2,175000
435,A2,B0,C69,D42,100,E3,F1,33000
436,A 0,B0,C9,D2,100,E2,F2,269000
437,A0,,C2,D1,0,E1,F2,190000
438,A 0, B0   ,C2,D1,0,E1,F2,190000
439,A1,B0,C11,D1,0,E1,F2,143865
440,A1,B0,C11,D24,100,E22,F2,72000
441,A 0,B0,C2,D1,100,E1,F2   ,141525
442,,B0,C4,D1,0,E1,F2,100000
443,A1,B0,C11,D3,50,E3,F1,65666
444,A0,B0,C11,D1,0,E1,F2,129000
445,A1,B0,C2,D1,0,E1,F2,128750
446,A0,B0,C4,D1,0,E1,F2,116000
447,A2,B0,C6,D1,0,E1,F2,125000
